iter	Logloss
0	0.5932481727
1	0.5238656416
2	0.4511657825
3	0.4125506773
4	0.3703012401
5	0.3351571902
6	0.3091758247
7	0.2894829584
8	0.2735780737
9	0.2609140713
10	0.2461382449
11	0.2372126223
12	0.2320921576
13	0.2244468301
14	0.2136433682
15	0.205648311
16	0.202600383
17	0.1964062351
18	0.1940188119
19	0.1915591178
20	0.1898187374
21	0.1860513015
22	0.1850891335
23	0.1820662121
24	0.1795041005
25	0.1775796421
26	0.1760702822
27	0.1738656593
28	0.1716947873
29	0.1712370905
30	0.1700479187
31	0.1679037659
32	0.1662607323
33	0.1644771946
34	0.1637525849
35	0.162958411
36	0.1627016532
37	0.1624587424
38	0.1611759972
39	0.1603359482
40	0.1596795019
41	0.1586157114
42	0.1571543322
43	0.1569994093
44	0.1558567642
45	0.1542049905
46	0.1533795699
47	0.1527263998
48	0.1512379055
49	0.1505408358
50	0.1503981487
51	0.1489622768
52	0.1482767906
53	0.1465499121
54	0.144709242
55	0.1440130053
56	0.1426020716
57	0.1421582856
58	0.1414744273
59	0.1413371604
60	0.1403062277
61	0.1392507127
62	0.1391590023
63	0.1388226087
64	0.1376044451
65	0.1363809962
66	0.13554754
67	0.1343099543
68	0.1337737985
69	0.1337253597
70	0.1334930195
71	0.1328934961
72	0.1325707663
73	0.1320503739
74	0.1317151701
75	0.1313471905
76	0.1308845713
77	0.130553457
78	0.1304665748
79	0.130420479
80	0.1301655199
81	0.1295346736
82	0.1293377414
83	0.1292774432
84	0.1287532928
85	0.1279695879
86	0.1278744047
87	0.1275687799
88	0.126965898
89	0.1263657828
90	0.126283122
91	0.126238616
92	0.1260028538
93	0.1255557948
94	0.1252432358
95	0.1247462763
96	0.12437995
97	0.12398868
98	0.1239477675
99	0.1238231744
100	0.1227884783
101	0.1227459014
102	0.122703495
103	0.1223579332
104	0.1219980059
105	0.121697996
106	0.1210105312
107	0.1209553854
108	0.1205195241
109	0.1204859809
110	0.1204119757
111	0.1202245013
112	0.1201920903
113	0.1198871335
114	0.1190663648
115	0.1190187596
116	0.1188393867
117	0.1183885893
118	0.1183586318
119	0.1179880553
120	0.1171572392
121	0.1168984572
122	0.1165791278
123	0.1165341279
124	0.1164465764
125	0.1164121147
126	0.1163590461
127	0.1162803426
128	0.116251812
129	0.1162121149
130	0.116172554
131	0.1160387471
132	0.1160034229
133	0.1159814564
134	0.1157690765
135	0.1157131102
136	0.1153894559
137	0.1152560663
138	0.1151177918
139	0.1150793312
140	0.1150306723
141	0.1150002766
142	0.1149565484
143	0.114928033
144	0.1148992254
145	0.1147743261
146	0.114693556
147	0.1146551863
148	0.1146176811
149	0.1145940977
150	0.1144130458
151	0.1136395244
152	0.1133609152
153	0.1129923045
154	0.112627733
155	0.1125928085
156	0.1124828762
157	0.1124428166
158	0.112417725
159	0.1123910593
160	0.112347383
161	0.1121985539
162	0.1121726156
163	0.112135849
164	0.1118771531
165	0.1117930196
166	0.1117551665
167	0.1117380313
168	0.111587613
169	0.1115446302
170	0.1115185917
171	0.1114880584
172	0.1114546027
173	0.1114256452
174	0.1113941494
175	0.1113638741
176	0.1113263314
177	0.1113054613
178	0.1112560798
179	0.1112230227
180	0.111194545
181	0.1111303423
182	0.1110943347
183	0.1110577042
184	0.1109241991
185	0.1108922716
186	0.1108464342
187	0.1108204694
188	0.1107888773
189	0.110755863
190	0.1107312655
191	0.1106913788
192	0.1106726353
193	0.1106202475
194	0.1105333195
195	0.1105057641
196	0.1104684523
197	0.1104309001
198	0.110389897
199	0.1103606257
200	0.1103370595
201	0.1103084962
202	0.1102776712
203	0.1102514882
204	0.1102219216
205	0.1101935461
206	0.1101684308
207	0.1100495839
208	0.1100152054
209	0.1099645696
210	0.1099361616
211	0.1098667247
212	0.1098459194
213	0.1098166919
214	0.1097954411
215	0.1097596958
216	0.1097268559
217	0.1096980719
218	0.1096560846
219	0.1096314025
220	0.1096105064
221	0.1095685265
222	0.1095325713
223	0.1095154611
224	0.1094880963
225	0.1094572624
226	0.1093875896
227	0.1093622115
228	0.109321905
229	0.1093016317
230	0.1092779353
231	0.1092474249
232	0.1092258328
233	0.1091863521
234	0.1091362063
235	0.1091147528
236	0.1090784955
237	0.1090546314
238	0.1090200433
239	0.1089882931
240	0.1089557121
241	0.1089377136
242	0.1089072837
243	0.1088883682
244	0.108866017
245	0.1088363054
246	0.1088115837
247	0.1087772322
248	0.1087506322
249	0.1086764601
250	0.1086376246
251	0.1085909911
252	0.1085603915
253	0.1085331814
254	0.1085136886
255	0.1084676563
256	0.1084470071
257	0.1084207714
258	0.1083940611
259	0.1083713223
260	0.1083499504
261	0.1083119129
262	0.1082840777
263	0.108208871
264	0.1081804831
265	0.1081466269
266	0.108128806
267	0.1080709752
268	0.1080399081
269	0.1080097366
270	0.1079768435
271	0.107941466
272	0.1077742591
273	0.1077438434
274	0.1077077174
275	0.1076813134
276	0.1076630683
277	0.1076407899
278	0.1075366355
279	0.1075062059
280	0.1074618924
281	0.1074288325
282	0.1074027697
283	0.1073418494
284	0.1073135322
285	0.1072845154
286	0.1072429911
287	0.1072102758
288	0.1071903576
289	0.1071603808
290	0.1071195613
291	0.1070940988
292	0.1070778752
293	0.1070572325
294	0.1070101763
295	0.1069877278
296	0.1069668886
297	0.1069417672
298	0.106927908
299	0.1068991638
300	0.1068692644
301	0.1068455291
302	0.1068158019
303	0.1067860437
304	0.1067678928
305	0.1067338403
306	0.1067096022
307	0.106688411
308	0.10666918
309	0.1066530641
310	0.1066045126
311	0.1065650158
312	0.1065337141
313	0.1065164047
314	0.1064825542
315	0.1064578515
316	0.1064330408
317	0.1062834338
318	0.10625474
319	0.1062271256
320	0.106201813
321	0.1060947578
322	0.1060562655
323	0.1060373351
324	0.1059998892
325	0.1059817077
326	0.1059620562
327	0.1059425561
328	0.1059117173
329	0.1058935199
330	0.1058621364
331	0.1058399419
332	0.1058067182
333	0.1057781074
334	0.1057565549
335	0.1057229672
336	0.1057016188
337	0.1056638333
338	0.1056266607
339	0.1056054044
340	0.1055673188
341	0.1055448182
342	0.1055198279
343	0.1054782381
344	0.1054385563
345	0.1053918669
346	0.105358617
347	0.1053354933
348	0.1053046114
349	0.1052799834
350	0.1052455942
351	0.1052191374
352	0.1052007637
353	0.105181749
354	0.1051580322
355	0.105139454
356	0.1051142153
357	0.1049717056
358	0.1049385821
359	0.1049151543
360	0.1048840583
361	0.1048669977
362	0.1048372745
363	0.1047969706
364	0.1047640438
365	0.1047339981
366	0.1047125027
367	0.1046794707
368	0.1046535505
369	0.1046167067
370	0.1046038768
371	0.1045825664
372	0.1045635114
373	0.1045472629
374	0.1045135825
375	0.1045024428
376	0.1044836426
377	0.1044559825
378	0.1044101654
379	0.1043820924
380	0.1043594508
381	0.1043310535
382	0.1042979793
383	0.104273128
384	0.1042354982
385	0.1042027451
386	0.104180873
387	0.1041561727
388	0.1041335267
389	0.1041182175
390	0.1041003624
391	0.1039808834
392	0.1039616874
393	0.1039308467
394	0.1038969329
395	0.1038760487
396	0.1038375862
397	0.103815846
398	0.1037913332
399	0.10365333
400	0.1036209455
401	0.1035305461
402	0.1035060972
403	0.1034822312
404	0.10347215
405	0.1034437416
406	0.1034191302
407	0.1033924189
408	0.1033025555
409	0.1032721245
410	0.1032419241
411	0.1032014734
412	0.1031814539
413	0.1031550058
414	0.1031361108
415	0.1031006622
416	0.103072938
417	0.103040603
418	0.1030093635
419	0.1029880258
420	0.1029563542
421	0.1029374775
422	0.1028972868
423	0.1028716986
424	0.1028580169
425	0.1028330783
426	0.1028166726
427	0.1027909683
428	0.1027704814
429	0.1027436817
430	0.1027114562
431	0.1026829011
432	0.1026670097
433	0.1026416885
434	0.1026217746
435	0.1026047121
436	0.1025780362
437	0.1025566629
438	0.102542525
439	0.1025087005
440	0.1024868696
441	0.1024620943
442	0.1024529304
443	0.1023220699
444	0.102288596
445	0.1022095418
446	0.1021878992
447	0.1021533285
448	0.1021346984
449	0.1021134643
450	0.1020862568
451	0.1020622922
452	0.1020374431
453	0.1020098221
454	0.1019934637
455	0.1019834231
456	0.1019455419
457	0.1018894768
458	0.1018684611
459	0.1018373057
460	0.1018178079
461	0.1017888815
462	0.1017608986
463	0.1016587234
464	0.1016327929
465	0.1016100457
466	0.1015924442
467	0.1015657068
468	0.1015493087
469	0.1015288078
470	0.1015135286
471	0.1014939572
472	0.1014775495
473	0.1014526321
474	0.1014358501
475	0.1014110344
476	0.1013743397
477	0.1013523527
478	0.1013039501
479	0.1012748612
480	0.1012475875
481	0.1012327239
482	0.1012029661
483	0.1011690555
484	0.1011439998
485	0.1011212443
486	0.1010950807
487	0.101039034
488	0.1010050288
489	0.1009875449
490	0.1009616149
491	0.1009425734
492	0.100925845
493	0.100901783
494	0.1008689081
495	0.1008390535
496	0.1008253819
497	0.1008026146
498	0.1007685963
499	0.1007400199
500	0.1007193152
501	0.1006938924
502	0.1006770284
503	0.100650822
504	0.1006256158
505	0.1005981203
506	0.1005780805
507	0.1005549155
508	0.1005296082
509	0.1004962105
510	0.1004680537
511	0.1004457892
512	0.1004183954
513	0.1003967449
514	0.1003677503
515	0.1003337084
516	0.100303864
517	0.1002778789
518	0.1002527444
519	0.1002291793
520	0.1002079044
521	0.1001800915
522	0.1001477537
523	0.1001165354
524	0.1000950921
525	0.1000712194
526	0.1000381534
527	0.1000100033
528	0.0999842392
529	0.09991337489
